выполн|2|выполним,выполнена
означа|2|означает,означает
опя|1|опять
отступлен|1|отступление
господдержк|1|господдержки
дава|3|давали,давать,давалась
завис|3|зависит,зависит,зависят
давн|2|давние,давно
ловл|1|ловли
ловк|1|ловко
судоходн|1|судоходное
исключа|1|исключали
пок|3|пока,пока,пока
парт|3|партии,партий,партии
доход|11|доходы,доходами,доходов,доходы,доходов,доходов,доходы,доходов,доходов,доходы,доходов
прирост|1|прирост
наук|6|наук,науки,наук,науки,науки,науки
под|2|под,под
руководител|1|руководители
призва|1|призвана
перевозок|2|перевозок,перевозок
пот|3|потом,потому,потому
пор|7|пор,пор,порой,пор,пора,пора,пора
специалист|1|специалисты
участ|4|участия,участие,участие,участием
давш|1|давшим
осозна|1|осознанно
застройк|1|застройки
вышеуказа|1|вышеуказанных
высококачествен|1|высококачественных
движен|1|движения
муниципалитет|1|муниципалитетов
результат|10|результат,результате,результате,результат,результаты,результате,результаты,результат,результатам,результате
структур|7|структурами,структуры,структуры,структура,структуре,структур,структуры
отвеча|1|отвечало
музыкальн|1|музыкальных
мостов|1|мостовые
над|11|надо,надо,надеюсь,надо,надо,надо,надо,надо,надо,над,надо
успешн|1|успешно
ориентирова|1|ориентировать
цифров|1|цифровых
нам|15|нами,нам,нам,нам,нам,нами,нам,нам,нами,нам,нам,нам,нами,нам,нам
непредсказуем|1|непредсказуемыми
максимальн|3|максимальную,максимальную,максимальную
полага|3|полагаю,полагаю,полагаем
средств|20|средств,средства,средства,средства,средств,средств,средств,средства,средств,средств,средства,средств,средств,средства,средства,средствах,средства,средства,средства,средства
серьезн|6|серьезному,серьезным,серьезный,серьезным,серьезным,серьезный
образован|1|образовании
сбор|1|сборов
перееха|1|переехал
у|11|у,у,у,у,у,у,у,у,у,у,у
трущоб|1|трущобах
высок|7|высокого,высоком,высокие,высокая,высокими,высоки,высоких
нац|1|нацией
ратифицир|1|ратифицируют
используем|1|используемых
необходим|34|необходимым,необходимости,необходимым,необходимо,необходимым,необходимо,необходимо,необходимо,необходимо,необходимости,необходимо,необходимо,необходимостью,необходимые,необходимости,необходимо,необходимую,необходимые,необходимости,необходимо,необходимо,необходимы,необходимо,необходимым,необходимо,необходимости,необходимо,необходимой,необходимо,необходимую,необходимость,необходимые,необходимо,необходимый
нас|15|нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас,нас
министр|1|министрам
спор|1|спорили
транзит|1|транзита
наш|48|наше,нашей,нашей,наших,нашей,нашу,наши,нашей,наша,нашей,наши,наших,наших,нашей,наших,наши,нашей,наша,нашей,нашей,наших,наши,наших,наших,наши,наши,наших,наши,наши,наши,наши,наша,наши,наших,нашим,наших,наша,наших,наш,наши,наше,наших,наши,нашей,наша,нашу,наши,наших
тогд|4|тогда,тогда,тогда,тогда
мно|5|мною,мною,мною,мною,мной
решен|14|решения,решений,решение,решение,решение,решение,решению,решение,решение,решения,решение,решение,решением,решению
груз|1|грузии
мне|1|мне
слож|1|сложившуюся
слов|1|словах
некотор|1|некоторые
добавл|1|добавлю
округ|1|округам
размещен|3|размещения,размещением,размещению
врод|1|вроде
лингвист|1|лингвистов
превыша|1|превышающими
согласова|1|согласованной
способствова|2|способствовать,способствовало
равн|3|равной,равно,равной
составля|4|составляла,составляет,составляющие,составляют
пенс|6|пенсий,пенсий,пенсиям,пенсии,пенсий,пенсий
оста|3|осталась,осталось,осталось
полност|3|полностью,полностью,полностью
служ|1|служит
коридор|1|коридоры
декабр|2|декабря,декабрь
назов|1|назову
момент|1|момент
гражданск|8|гражданского,гражданских,гражданского,гражданского,гражданской,гражданских,гражданские,гражданских
прожива|1|проживающие
остр|1|острых
откровен|1|откровенно
книгоиздан|1|книгоиздания
сво|29|своих,своих,свое,своим,своей,своего,свое,свою,свои,своего,свой,своими,свою,своих,свои,свой,свой,свой,свои,свои,свои,свою,свои,свои,свои,своей,свою,свою,своей
консультац|1|консультаций
поступательн|1|поступательное
налогоплательщик|2|налогоплательщики,налогоплательщики
интеграц|2|интеграции,интеграции
проектирован|1|проектирования
сред|2|среде,среде
метр|6|метров,метров,метра,метров,метров,метров
работ|21|работы,работу,работа,работы,работы,работу,работе,работу,работа,работ,работу,работе,работе,работу,работы,работы,работы,работы,работы,работы,работой
разов|1|разовом
